Top DEVCoin (DEV) addresses as of block 409105

Address	Amount	Last deposit block	Last deposit timestamp	Last withdrawal block	Last withdrawal timestamp
LQ3HT2ovXDS9snPW1TV3SSEzwFAanvGAqp	16148.0	409042	2018-09-18 12:59:13	407089	2018-09-17 02:22:11
LKJRHZG5twELPwoK2XKkWmaJTT5YMv6N1u	16147.2	409065	2018-09-18 13:25:24	407795	2018-09-17 14:47:44
Lh7e81GWba8WP9VVJ224o7a7AQ5ekymQU9	16145.6	409069	2018-09-18 13:29:49	407061	2018-09-17 01:50:33
LTT4v5vmCe4YHTKxbqx3tFgVGPuwTVDv1f	16143.6	408925	2018-09-18 11:00:38	407460	2018-09-17 08:48:25
LShvdBtyhBf2SgUHSELzyeGWyJYWg3hqa9	16142.2	409098	2018-09-18 14:02:20	407947	2018-09-17 17:35:11
LNPupTpWDLpcZ9mnWVK7P6yuKHSN2kgp2W	16142.0	409086	2018-09-18 13:47:10	407945	2018-09-17 17:31:52
LQeKDN6wZBGdMetFvEpKuBMAsUYcvbiRAu	16140.6	409079	2018-09-18 13:40:15	407945	2018-09-17 17:31:52
LcbjrJstNTPp4n3ZsPmeDnGM1K1yoFcKM2	16138.6	409049	2018-09-18 13:07:01	407087	2018-09-17 02:18:45
LevXV1Z584f2HKtnFfufhNWsKfiFd29QXa	16137.6	408998	2018-09-18 12:16:16	407945	2018-09-17 17:31:52
LZHiA7S3EKemPMorwbAUs7b9c9dP9B5BPF	16137.2	409074	2018-09-18 13:34:40	408293	2018-09-17 23:48:55
Lh1dYPQ6LDtkNqxdPYMgNTQeJkKnqgmCkP	16133.8	408991	2018-09-18 12:08:46	407700	2018-09-17 13:14:55
LcSbVoaSehbYV5bgEF2E5QYQji7J4uxvnw	16133.2	409044	2018-09-18 13:02:34	408302	2018-09-17 23:57:44
LdzKLStFcbQ3BHRm5WX7H4sVGJ6c36TKCA	16132.8	409021	2018-09-18 12:35:41	409029	2018-09-18 12:44:48
Lh6HSJomsv5JhaeCREuimfKq2c1RM7dUDz	16132.70062313	143067	2018-01-12 01:52:00	126630	2017-12-31 15:29:52
LYK15yC6n1S6WPEE7U9mZDTbBFtCnA3gAV	16131.6	409052	2018-09-18 13:11:56	-	-
LYSefbdz6Yw61SbUuHoCLXcYRduTNcg8Br	16129.6	409089	2018-09-18 13:49:31	408643	2018-09-18 06:01:16
LN92mUd2PtjQfeq3iiSWtz7VkFADhGf5hN	16128.6	409061	2018-09-18 13:23:03	408643	2018-09-18 06:01:16
LVKWqDaqSTRZN8R45TAYz16Daf98UR3WN7	16128.2	409018	2018-09-18 12:32:37	408992	2018-09-18 12:09:00
LTBv3LC7uogyLUjpaZ66kLKzmNEMjvU43r	16126.6	408866	2018-09-18 09:52:45	408643	2018-09-18 06:01:16
LhpMMt8yW7nZ7xpJPnz4kJNP1eAvgUcfxX	16126.0	409085	2018-09-18 13:46:35	409096	2018-09-18 14:01:02
DEV4EVER8qMjQQV95fpbzkCnKhvpNFgYSD	16124.0	409095	2018-09-18 13:58:31	409096	2018-09-18 14:01:02
LUAAx54m7rk1pFs2y7bmsWDzvpmrLgmCN8	16122.2	409088	2018-09-18 13:48:22	409043	2018-09-18 13:00:29
LM9BJpknw4YTzYn91QpNavyKjpz2EojbBF	16122.2	409100	2018-09-18 14:05:20	409096	2018-09-18 14:01:02
LMF7zJ5oediVQPzHEkSZrnPxeDfUWTFCL7	16122.2	409053	2018-09-18 13:13:46	409043	2018-09-18 13:00:29
LUobzBESh96ehB3PRh57uV2PX6wFxFUqM9	16122.0	408993	2018-09-18 12:13:06	409064	2018-09-18 13:24:31
LTLp8DPu9StvdTztf5vV1d9Wtm7yLCCc5k	16122.0	409019	2018-09-18 12:33:12	409043	2018-09-18 13:00:29
Lfq2cFVgVBnh6xcvqqUTxDboNyAK5c8ePS	16122.0	409068	2018-09-18 13:28:52	409096	2018-09-18 14:01:02
Lbp3Txwm8r4DAYVY9JwSH91NDJt8zfVhwC	16122.0	409080	2018-09-18 13:40:16	408982	2018-09-18 12:01:03
LNBZTzK42YEgm2SNm8hKMFxSYD9xJyApYD	16122.0	409030	2018-09-18 12:46:39	409043	2018-09-18 13:00:29
LaNhoa67MjEhvJdryKQ5Aon49ShexCG749	16120.2	408457	2018-09-18 02:41:41	-	-
LdauSArcwXkCSfrpHbYdKifboJN19aDffj	16120.2	409102	2018-09-18 14:07:41	409096	2018-09-18 14:01:02
LbZ2waha4YyiWxCZBkvfk181M9DYmUu5AM	16120.0	408939	2018-09-18 11:24:25	409031	2018-09-18 12:51:25
LdMv4P2g5BZWocd5qpP3vsnzhJC7woJy9R	16120.0	409002	2018-09-18 12:18:54	409096	2018-09-18 14:01:02
LSuSWc6AUHbgbiajVfi1FjmxNC3T44a98S	16120.0	408989	2018-09-18 12:07:56	409096	2018-09-18 14:01:02
Lg642m4TfDNoNA9ZWrLqBRoFAUopqaBAqA	16120.0	409001	2018-09-18 12:18:23	409096	2018-09-18 14:01:02
LdbK19XCmxFhTA6cyMFXSYvhHfiW5YCti2	16120.0	307873	2018-07-05 13:00:30	-	-
LcB7miXsFQoN2ai1C5ZCgYjBRvngGmGx7n	16120.0	408959	2018-09-18 11:39:31	409043	2018-09-18 13:00:29
Leh962cGp2532ZJMQncEL9mKBedctmGhom	15000.0	188584	2018-02-22 23:54:32	-	-
LUNuvGZfhuySst5H7NP4PfdgoJq7RjZ4mz	15000.0	188574	2018-02-22 23:32:24	-	-
LL8QM8PEjGN62ofKLcww5KW4d1KhqN5tJi	15000.0	188574	2018-02-22 23:32:24	-	-
LSuhmqR1rv8eL6iopAr13noer7EvfQaeP6	15000.0	188574	2018-02-22 23:32:24	-	-
Lfih36idhF2uMmbvc3VcW728J49GfwyZfs	14999.99	180527	2018-02-11 06:47:56	-	-
LaNF3Pkv9qQgWRxaARFekKpirRxHyga5Nn	13457.0191117	392788	2018-09-06 12:41:43	-	-
LNGZe5fbwX7W6w4t6WVvnbWjV5MtkAdC9u	13048.33012762	407711	2018-09-17 13:27:57	407711	2018-09-17 13:27:57
LRu9DsqNiPbBwUUvHSjnkuND9bVE4NYZh1	13043.105	408798	2018-09-18 08:44:49	408798	2018-09-18 08:44:49
LdXSZF1mCmvER8uQxTUUDomrXJwdemh2Wc	12782.168888	409087	2018-09-18 13:48:21	409087	2018-09-18 13:48:21
LYqczqxeBJyawp8tRmeeEiwrnpcb7NzVVs	12500.3999804	384146	2018-08-31 03:13:27	-	-
LSWGkT1Bq8uvAbwSyuNYiQnohpoKHY2Xbz	11548.37630244	214695	2018-03-26 18:01:37	191941	2018-02-27 04:39:49
LUjyAgWcaTyBA7Mp7QRMYsaXuzczWnqSP6	11441.4039	408826	2018-09-18 09:16:15	408826	2018-09-18 09:16:15
LSPVuvovWKTkC4FG3yBkh1V5awBTGWiH3X	11330.03218702	237151	2018-04-17 15:25:56	187854	2018-02-22 00:26:52
LiRuVkacxErhPtamt53QyJSfaYKM7d4xCj	10925.716	296985	2018-06-08 13:05:28	296985	2018-06-08 13:05:28
LQuYbjP9U7ALMpHCP7nCLZ7XWPwXCnx9A5	10840.24	364916	2018-08-16 21:39:37	367827	2018-08-19 01:20:53
LTHGJyoZUi76Gd2LXzAmo3kbGiYsXyCotf	10732.90775141	408974	2018-09-18 11:51:45	408837	2018-09-18 09:28:02
LWru73z6ao9uufMWXsVXqz739QLY8XKhmm	10700.001	369025	2018-08-19 22:36:29	-	-
